theta,pml_20,pml_32,aal_20,aal_32
0,43.53666666666667,21.843333333333334,2.4966666666666666,0.4466666666666666
10,44.83690838838799,25.085114640301626,2.9262766733093097,0.8060955065606227
20,45.59090202071148,26.09763605729169,2.9506867721917622,0.8164831034598475
30,43.90131182616669,22.77011016642448,2.6907456425294356,0.564392764857881
35,41.4951949974737,20.041011037824408,2.603085829831318,0.5096892513171581
40,39.377744210437875,17.344352269616145,2.398122976317085,0.36352092352092347
50,28.648214226745633,10.093680541680676,1.5526364471152687,0.19241786637135472
52,26.502361600946013,8.916179291633933,1.4008923006555278,0.16823658520366397
60,17.47829676837708,4.7073230636616135,0.7556669550881613,0.08022282626933788
70,7.7834645235135484,0.8071542314584402,0.2881206283320771,0.008858686533105136
75,3.784439635191703,0.2250881123058542,0.10579943692414652,0.0
77,2.7735107006513116,0.10659144024577567,0.06946126617002081,0.0
80,1.6127386458251458,0.0,0.0337797203206366,0.0
