lat,lon,pml_0,aal_0,pml_45,aal_45,pml_50,aal_50,pml_52,aal_52,ins_52,risk_52,pml_60,aal_60,ins_60,risk_60,pml_70,aal_70,ins_70,risk_70,pml_77,aal_77,ins_77,risk_77,gc_check
29.9,-87.7,0.1,0.0010995396502716565,0.06,0.0010995396502716565,0.05,0.0010995396502716565,0.03378585470834727,0.0010995396502716565,0.270062,0.562496,0.014493931753580927,0.0005997489001481761,0.115855,0.306816,0.0,0.00019991630004939209,0.0,0.102272,0.0,9.995815002469604e-05,0.0,0.051136,1.3311
30.8,-87.7,0.12,0.0018992048504692248,0.07,0.0018992048504692248,0.05,0.0018992048504692248,0.04148263226024886,0.0018992048504692248,0.331585,0.971584,0.018292341454519377,0.0009995815002469604,0.146217,0.51136,0.0,0.0002998744500740881,0.0,0.153408,0.0,9.995815002469604e-05,0.0,0.051136,1.67994
31.7,-85.9,0.2,0.01,0.12,0.01,0.09,0.004098284151012538,0.07616811031881839,0.004098284151012538,0.608838,2.096576,0.03988330185985372,0.002299037450568009,0.318801,1.176128,0.005897530851457067,0.0007996652001975683,0.047141,0.409088,0.0,0.0002998744500740881,0.0,0.153408,3.66282
31.7,-86.8,0.2,0.01,0.12,0.01,0.09,0.004098284151012538,0.07666790106894186,0.004098284151012538,0.612833,2.096576,0.04018317630992781,0.002299037450568009,0.321198,1.176128,0.005997489001481763,0.0007996652001975683,0.04794,0.409088,0.0,0.0002998744500740881,0.0,0.153408,3.69036
31.7,-87.7,0.17,0.01,0.1,0.01,0.08,0.0038983678509631457,0.06347342526568198,0.0038983678509631457,0.507365,1.994304,0.030587193907556987,0.002099121150518617,0.244494,1.073856,0.0017992467004445288,0.0005997489001481761,0.014382,0.306816,0.0,0.00019991630004939209,0.0,0.102272,2.80908
32.6,-85.0,0.21,0.01,0.12,0.01,0.09,0.004298200451061929,0.07876702221946047,0.004298200451061929,0.629612,2.198848,0.04178250671032294,0.002299037450568009,0.333982,1.176128,0.0066971960516546344,0.0007996652001975683,0.053533,0.409088,0.0,0.0002998744500740881,0.0,0.153408,3.83724
32.6,-85.9,0.23,0.01,0.13,0.01,0.1,0.01,0.08466455307091755,0.005297781951308891,0.676753,2.710208,0.046080707161384876,0.0028987863507161852,0.368339,1.482944,0.008596400902123859,0.0009995815002469604,0.068714,0.51136,0.0,0.00039983260009878417,0.0,0.204544,4.23198
32.6,-86.8,0.21,0.01,0.12,0.01,0.09,0.01,0.07856710591941109,0.0053977401013335854,0.628014,2.761344,0.041582590410273554,0.0029987445007408813,0.332384,1.53408,0.006597237901629939,0.0009995815002469604,0.052734,0.51136,0.0,0.00039983260009878417,0.0,0.204544,3.81888
32.6,-87.7,0.2,0.01,0.11,0.01,0.09,0.01,0.07286949136800341,0.005197823801284194,0.582471,2.659072,0.03748430625926101,0.002798828200691489,0.299625,1.431808,0.004797991201185409,0.0008996233502222644,0.038352,0.460224,0.0,0.00039983260009878417,0.0,0.204544,3.4425
33.5,-85.9,0.22,0.01,0.13,0.01,0.1,0.01,0.0808661433699791,0.005097865651259498,0.646391,2.607936,0.04338183711071809,0.002798828200691489,0.346766,1.431808,0.007396903101827507,0.0009995815002469604,0.059126,0.51136,0.0,0.00039983260009878417,0.0,0.204544,3.98412
33.5,-86.8,0.21,0.01,0.12,0.01,0.09,0.01,0.07816727331931231,0.0053977401013335854,0.624818,2.761344,0.041382674110224164,0.0028987863507161852,0.330786,1.482944,0.006497279751605243,0.0009995815002469604,0.051935,0.51136,0.0,0.00039983260009878417,0.0,0.204544,3.80052
33.5,-87.7,0.2,0.01,0.11,0.01,0.09,0.01,0.07396903101827507,0.005197823801284194,0.59126,2.659072,0.03828397145945858,0.0026988700506667927,0.306017,1.380672,0.005197823801284194,0.0007996652001975683,0.041548,0.409088,0.0,0.0002998744500740881,0.0,0.153408,3.51594
34.4,-85.9,0.19,0.01,0.11,0.01,0.08,0.004298200451061929,0.06897112351704027,0.004298200451061929,0.55131,2.198848,0.034585519908544825,0.002099121150518617,0.276454,1.073856,0.0035984934008890575,0.0006997070501728723,0.028764,0.357952,0.0,0.0002998744500740881,0.0,0.153408,3.17628
34.4,-86.8,0.24,0.01,0.15,0.01,0.11,0.01,0.09146170727259688,0.005697614551407674,0.731085,2.914752,0.050878698362570286,0.0029987445007408813,0.406691,1.53408,0.010795480202667171,0.0009995815002469604,0.086292,0.51136,9.995815002469604e-05,0.00039983260009878417,0.000799,0.204544,4.67262
34.4,-87.7,0.22,0.01,0.13,0.01,0.1,0.01,0.08346505527062119,0.005597656401382978,0.667165,2.863616,0.04518108381116261,0.002798828200691489,0.361148,1.431808,0.008296526452049771,0.0008996233502222644,0.066317,0.460224,0.0,0.00039983260009878417,0.0,0.204544,4.14936
33.5,-91.3,0.19,0.01,0.11,0.01,0.09,0.01,0.07206982616780584,0.005297781951308891,0.576079,2.710208,0.03688455735911284,0.0026988700506667927,0.294831,1.380672,0.004498116751111322,0.0007996652001975683,0.035955,0.409088,0.0,0.0002998744500740881,0.0,0.153408,3.38742
33.5,-92.2,0.2,0.01,0.12,0.01,0.09,0.01,0.07506857066854673,0.005597656401382978,0.600049,2.863616,0.039083636659656154,0.002798828200691489,0.312409,1.431808,0.005497698251358282,0.0008996233502222644,0.043945,0.460224,0.0,0.00039983260009878417,0.0,0.204544,3.58938
