lat,lon,pml_0,aal_0,pml_45,aal_45,pml_50,aal_50,pml_52,aal_52,ins_52,risk_52,pml_60,aal_60,ins_60,risk_60,pml_70,aal_70,ins_70,risk_70,pml_77,aal_77,ins_77,risk_77,gc_check
29.9,-87.7,0.28,0.0033985771008396655,0.22,0.0033985771008396655,0.2,0.0033985771008396655,0.1693291061418351,0.0033985771008396655,1.353506,1.738624,0.12464781308079596,0.002598911900642097,0.996353,1.329536,0.05067878206252089,0.0014993722503704406,0.405093,0.76704,0.024389788606025833,0.0009995815002469604,0.194956,0.51136,11.44746
30.8,-87.7,0.31,0.01,0.24,0.01,0.22,0.01,0.18532241014578646,0.0066971960516546344,1.481346,3.426112,0.13614300033363602,0.004997907501234802,1.088238,2.5568,0.05637639661392856,0.002798828200691489,0.450636,1.431808,0.028687989057087762,0.0016992885504198327,0.229313,0.869312,12.50316
31.7,-85.9,0.42,0.02,0.32,0.02,0.28,0.013194475803259878,0.25129478916208586,0.013194475803259878,2.008686,6.749952,0.19042027579704596,0.009995815002469604,1.522095,5.1136,0.08916266982202888,0.005597656401382978,0.712708,2.863616,0.048379744611952887,0.0035984934008890575,0.386716,1.840896,17.4879
31.7,-86.8,0.42,0.02,0.32,0.012894601353185788,0.28,0.012894601353185788,0.2521944125123081,0.012894601353185788,2.015877,6.596544,0.19121994099724351,0.009795898702420211,1.528487,5.011328,0.08976241872217704,0.005497698251358282,0.717502,2.81248,0.04867961906202697,0.0034985352508643615,0.389113,1.78976,17.56134
31.7,-87.7,0.39,0.02,0.29,0.02,0.26,0.014194057303506839,0.2294039543066774,0.014194057303506839,1.833705,7.261312,0.17002881319200797,0.010695522052642476,1.359099,5.471552,0.07496861251852202,0.0057975727014323705,0.59925,2.965888,0.04108279966015007,0.0036984515509137536,0.328389,1.892032,15.61518
32.6,-85.0,0.42,0.02,0.33,0.02,0.28,0.01409409915348214,0.25579290591319714,0.01409409915348214,2.044641,7.210176,0.1946185180980832,0.010695522052642476,1.555653,5.471552,0.09216141432276975,0.005997489001481763,0.736678,3.06816,0.049879116862323325,0.0037984097009384496,0.398701,1.943168,17.87346
32.6,-85.9,0.44,0.02,0.35,0.02,0.29,0.02,0.26598863721571614,0.017092843654223023,2.126139,8.744256,0.20411454235042933,0.012994559503210486,1.631558,6.64768,0.09875865222439968,0.007296944951802811,0.789412,3.732928,0.05327769396316299,0.004598074901136018,0.425867,2.352256,18.74556
32.6,-86.8,0.42,0.02,0.33,0.02,0.28,0.02,0.25539307331309835,0.01819238330449468,2.041445,9.306752,0.1942186854979844,0.013794224703408053,1.552457,7.056768,0.09186153987269566,0.007596819401876899,0.734281,3.886336,0.04967920056227393,0.004797991201185409,0.397103,2.454528,17.83674
32.6,-87.7,0.41,0.02,0.31,0.02,0.28,0.02,0.24569713276070287,0.018892090354667553,1.963942,9.664704,0.18522245199576176,0.014194057303506839,1.480547,7.261312,0.08556417642113981,0.007796735701926291,0.683944,3.988608,0.04648053976148366,0.004897949351210106,0.371535,2.505664,17.01054
33.5,-85.9,0.43,0.02,0.34,0.02,0.29,0.02,0.2594913574641109,0.017392718104297114,2.074204,8.897664,0.19801709519892285,0.013094517653235181,1.582819,6.698816,0.09456040992336245,0.007296944951802811,0.755854,3.732928,0.051078614662619676,0.004598074901136018,0.408289,2.352256,18.18558
33.5,-86.8,0.42,0.02,0.33,0.02,0.28,0.02,0.2547933244129502,0.019391881104791033,2.036651,9.920384,0.19371889474786091,0.014493931753580927,1.548462,7.41472,0.09146170727259688,0.007996652001975683,0.731085,4.09088,0.04947928426222454,0.004997907501234802,0.395505,2.5568,17.79084
33.5,-87.7,0.41,0.020091588154963903,0.32,0.020091588154963903,0.28,0.020091588154963903,0.2474963794611474,0.020091588154963903,1.978324,10.278336,0.1869217405461816,0.01489376435367971,1.49413,7.619264,0.08666371607141148,0.00809661015200038,0.692733,4.142016,0.04708028866163184,0.004997907501234802,0.376329,2.5568,17.1666
34.4,-85.9,0.4,0.02,0.3,0.02,0.27,0.02,0.23889997855902353,0.017292759954272412,1.90961,8.846528,0.1789250885442059,0.012794643203161093,1.43021,6.545408,0.08116601782005319,0.006797154201679331,0.648788,3.477248,0.04428146046094035,0.004198242301037234,0.353957,2.147712,16.4322
34.4,-86.8,0.45,0.03,0.36,0.021491002255309647,0.31,0.021491002255309647,0.2775837826185809,0.021491002255309647,2.218823,10.99424,0.214410231802973,0.015993304003951367,1.713855,8.18176,0.1059556390261778,0.008696359052148557,0.84694,4.448832,0.056976145514076745,0.0053977401013335854,0.45543,2.761344,19.6911
34.4,-87.7,0.44,0.03,0.34,0.03,0.29,0.02229066745550722,0.26388951606519756,0.02229066745550722,2.10936,11.403328,0.2022153374999601,0.016393136604050153,1.616377,8.386304,0.09735923812405393,0.008796317202173252,0.778226,4.499968,0.052577986912990114,0.005497698251358282,0.420274,2.81248,18.57114
33.5,-91.3,0.41,0.020291504455013296,0.31,0.020291504455013296,0.27,0.020291504455013296,0.24419776051033243,0.020291504455013296,1.951957,10.380608,0.183823037895416,0.015093680653729104,1.469361,7.721536,0.08456459492089285,0.008196568302025076,0.675954,4.193152,0.04598074901136018,0.005097865651259498,0.36754,2.607936,16.88202
33.5,-92.2,0.42,0.03,0.32,0.03,0.28,0.021890834855408433,0.24939558431161662,0.021890834855408433,1.993505,11.198784,0.18862102909660144,0.01619322030400076,1.507713,8.284032,0.08796317202173251,0.008796317202173252,0.70312,4.499968,0.047779995711804704,0.005497698251358282,0.381922,2.81248,17.32266
33.5,-93.1,0.41,0.03,0.31,0.03,0.27,0.02299037450568009,0.24409780236030773,0.02299037450568009,1.951158,11.76128,0.18372307974539132,0.017092843654223023,1.468562,8.744256,0.08446463677086814,0.009196149802272036,0.675155,4.704512,0.04598074901136018,0.005697614551407674,0.36754,2.914752,16.87284
33.5,-94.0,0.42,0.03,0.33,0.03,0.28,0.023889997855902352,0.2556929477631725,0.023889997855902352,2.043842,12.221504,0.1945185599480585,0.01789250885442059,1.554854,9.153344,0.09206145617274504,0.009795898702420211,0.735879,5.011328,0.04977915871229863,0.006197405301531155,0.397902,3.170432,17.86428
34.4,-91.3,0.42,0.02,0.33,0.02,0.28,0.02,0.25589286406322187,0.018492257754568767,2.04544,9.46016,0.19471847624810787,0.013794224703408053,1.556452,7.056768,0.09216141432276975,0.007496861251852203,0.736678,3.8352,0.049879116862323325,0.0046980330511607145,0.398701,2.403392,17.88264
34.4,-92.2,0.43,0.03,0.34,0.021590960405334342,0.29,0.021590960405334342,0.26119064601453074,0.021590960405334342,2.087787,11.045376,0.1997163837493427,0.01609326215397606,1.596402,8.232896,0.0956599495736341,0.008796317202173252,0.764643,4.499968,0.05167836356276785,0.005497698251358282,0.413083,2.81248,18.34164
34.4,-93.1,0.44,0.03,0.34,0.03,0.29,0.03,0.2647891394154198,0.024389788606025833,2.116551,12.477184,0.20291504455013296,0.01819238330449468,1.62197,9.306752,0.09795898702420212,0.009995815002469604,0.78302,5.1136,0.05287786136306421,0.006197405301531155,0.422671,3.170432,18.6354
34.4,-94.0,0.44,0.03,0.35,0.03,0.3,0.03,0.2690873398664817,0.025389370106272794,2.150908,12.988544,0.2070133287011455,0.018892090354667553,1.654729,9.664704,0.1007578152248936,0.010295689452543692,0.805392,5.267008,0.05427727546340995,0.006397321601580547,0.433857,3.272704,19.01178
35.3,-90.4,0.37,0.02,0.27,0.02,0.25,0.02,0.22030776265443008,0.016293178454025455,1.760996,8.335168,0.1615323704399088,0.011994978002963525,1.291184,6.13632,0.06897112351704027,0.006397321601580547,0.55131,3.272704,0.03808405515940919,0.0038983678509631457,0.304419,1.994304,14.83488
35.3,-91.3,0.4,0.02,0.3,0.02,0.27,0.02,0.23830022965887537,0.016393136604050153,1.904816,8.386304,0.17832533964405775,0.012094936152988222,1.425416,6.187456,0.0807661852199544,0.006597237901629939,0.645592,3.374976,0.044081544160890954,0.004098284151012538,0.352359,2.096576,16.37712
35.3,-92.2,0.41,0.03,0.31,0.03,0.27,0.021890834855408433,0.24289830456001138,0.021890834855408433,1.94157,11.198784,0.18262354009511966,0.01619322030400076,1.459773,8.284032,0.08376492972069528,0.008796317202173252,0.669562,4.499968,0.04558091641126139,0.005497698251358282,0.364344,2.81248,16.77186
35.3,-93.1,0.43,0.03,0.34,0.03,0.29,0.03,0.2596912737641603,0.02498953750617401,2.075802,12.784,0.19821701149897225,0.01859221590459346,1.584417,9.511296,0.09466036807338715,0.0100957731524943,0.756653,5.164736,0.051178572812644374,0.00629736345155585,0.409088,3.221568,18.20394
35.3,-94.0,0.44,0.03,0.35,0.03,0.3,0.03,0.2701868795167534,0.027088658656692625,2.159697,13.857856,0.20801291020139248,0.020091588154963903,1.662719,10.278336,0.10145752227506648,0.010895438352691869,0.810985,5.573824,0.054677108063508735,0.006797154201679331,0.437053,3.477248,19.10358
36.2,-90.4,0.39,0.02,0.29,0.02,0.26,0.02,0.22790458205630698,0.01859221590459346,1.82172,9.511296,0.16862939909166222,0.013694266553383358,1.347913,7.005632,0.07396903101827507,0.007396903101827507,0.59126,3.784064,0.04058300891002659,0.004598074901136018,0.324394,2.352256,15.48666
36.2,-91.3,0.41,0.03,0.32,0.021590960405334342,0.28,0.021590960405334342,0.24609696536080167,0.021590960405334342,1.967138,11.045376,0.18562228459586055,0.015993304003951367,1.483743,8.18176,0.0857640927211892,0.008696359052148557,0.685542,4.448832,0.04668045606153305,0.0053977401013335854,0.373133,2.761344,17.04726
36.2,-92.2,0.42,0.03,0.33,0.03,0.28,0.022090751155457826,0.2524942869623822,0.022090751155457826,2.018274,11.301056,0.1915198154473176,0.016493094754074848,1.530884,8.43744,0.08996233502222643,0.008996233502222645,0.7191,4.60224,0.048779577212051665,0.005697614551407674,0.389912,2.914752,17.58888
36.2,-93.1,0.42,0.03,0.32,0.03,0.28,0.03,0.2522943706623328,0.024589704906075226,2.016676,12.579456,0.1913198991472682,0.018392299604544072,1.529286,9.409024,0.08976241872217704,0.009995815002469604,0.717502,5.1136,0.04867961906202697,0.00629736345155585,0.389113,3.221568,17.57052
36.2,-94.0,0.45,0.03,0.36,0.03,0.3,0.03,0.27458503811784,0.027388533106766717,2.194853,14.011264,0.212111194352405,0.02049142075506269,1.695478,10.48288,0.10435630862578267,0.011295270952790653,0.834156,5.778368,0.056076522163854475,0.0070970286517534195,0.448239,3.630656,19.47996
31.7,-109.3,0.29,0.0029987445007408813,0.23,0.0029987445007408813,0.2,0.0029987445007408813,0.17302755769274886,0.0029987445007408813,1.383069,1.53408,0.12734668313146277,0.002299037450568009,1.017926,1.176128,0.051978238012841946,0.0012994559503210486,0.41548,0.664768,0.025389370106272794,0.0008996233502222644,0.202946,0.460224,11.69532
31.7,-110.2,0.39,0.01,0.29,0.01,0.26,0.01,0.23090332655704787,0.007296944951802811,1.84569,3.732928,0.1714282272923537,0.005697614551407674,1.370285,2.914752,0.07586823586874429,0.0033985771008396655,0.606441,1.738624,0.041582590410273554,0.002199079300543313,0.332384,1.124992,15.7437
31.7,-111.1,0.43,0.01,0.34,0.01,0.29,0.01,0.26089077156445667,0.00909619165224734,2.08539,4.653376,0.1993165511492439,0.007196986801778115,1.593206,3.681792,0.09536007512356003,0.004298200451061929,0.762246,2.198848,0.05157840541274315,0.0028987863507161852,0.412284,1.482944,18.30492
31.7,-112.0,0.41,0.01,0.32,0.01,0.28,0.01,0.2473964213111227,0.0057975727014323705,1.977525,2.965888,0.1868217823961569,0.0046980330511607145,1.493331,2.403392,0.08666371607141148,0.002798828200691489,0.692733,1.431808,0.04708028866163184,0.0018992048504692248,0.376329,0.971584,17.15742
32.6,-109.3,0.38,0.01,0.28,0.01,0.25,0.004498116751111322,0.2215072604547264,0.004498116751111322,1.770584,2.30112,0.16273186824020516,0.0035984934008890575,1.300772,1.840896,0.06977078871723784,0.002099121150518617,0.557702,1.073856,0.03848388775950798,0.0013994141003457446,0.307615,0.715904,14.94504
32.6,-110.2,0.45,0.010195731302518996,0.36,0.010195731302518996,0.3,0.010195731302518996,0.276884075568408,0.010195731302518996,2.21323,5.215872,0.2141103573528989,0.008496442752099164,1.711458,4.34656,0.10575572272612842,0.005297781951308891,0.845342,2.710208,0.05687618736405205,0.0035984934008890575,0.454631,1.840896,19.66356
32.6,-111.1,0.45,0.01,0.36,0.01,0.31,0.01,0.27768374076860564,0.009795898702420211,2.219622,5.011328,0.2145101899529977,0.008196568302025076,1.714654,4.193152,0.1060555971762025,0.005097865651259498,0.847739,2.607936,0.05707610366410144,0.0034985352508643615,0.456229,1.78976,19.70028
32.6,-112.0,0.45,0.01,0.36,0.01,0.3,0.01,0.2766841592683586,0.005997489001481763,2.211632,3.06816,0.2140103992028742,0.004897949351210106,1.710659,2.505664,0.10565576457610372,0.0029987445007408813,0.844543,1.53408,0.056776229214027356,0.001999163000493921,0.453832,1.02272,19.65438
32.6,-112.9,0.38,0.002299037450568009,0.28,0.002299037450568009,0.25,0.002299037450568009,0.22140730230470174,0.002299037450568009,1.769785,1.176128,0.16263191009018046,0.0018992048504692248,1.299973,0.971584,0.06977078871723784,0.0011994978002963523,0.557702,0.613632,0.03848388775950798,0.0007996652001975683,0.307615,0.409088,14.93586
32.6,-113.8,0.04,0.0005997489001481761,0.03,0.0005997489001481761,0.03,0.0005997489001481761,0.016293178454025455,0.0005997489001481761,0.130237,0.306816,0.010295689452543692,0.0004997907501234802,0.082297,0.25568,0.0,0.0002998744500740881,0.0,0.153408,0.0,0.00019991630004939209,0.0,0.102272,0.94554
32.6,-114.7,0.04,0.0005997489001481761,0.03,0.0005997489001481761,0.02,0.0005997489001481761,0.01589334585392667,0.0005997489001481761,0.127041,0.306816,0.009995815002469604,0.00039983260009878417,0.0799,0.204544,0.0,0.0002998744500740881,0.0,0.153408,0.0,0.00019991630004939209,0.0,0.102272,0.918
33.5,-109.3,0.38,0.0030987026507655773,0.28,0.0030987026507655773,0.25,0.0030987026507655773,0.22290667455507218,0.0030987026507655773,1.78177,1.585216,0.1640313241905262,0.002598911900642097,1.311159,1.329536,0.0706704120674601,0.0015993304003951367,0.564893,0.818176,0.038983678509631456,0.0010995396502716565,0.31161,0.562496,15.06438
33.5,-110.2,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.009895856852444908,0.0,5.062464,0.0,0.008696359052148557,0.0,4.448832,0.0,0.005697614551407674,0.0,2.914752,0.0,0.003998326000987842,0.0,2.04544,0.0
33.5,-111.1,0.45,0.010395647602568388,0.36,0.010395647602568388,0.31,0.010395647602568388,0.2770839918684574,0.010395647602568388,2.214828,5.318144,0.2142103155029236,0.008996233502222645,1.712257,4.60224,0.10575572272612842,0.0057975727014323705,0.845342,2.965888,0.05687618736405205,0.003998326000987842,0.454631,2.04544,19.67274
33.5,-112.0,0.42,0.01,0.33,0.01,0.28,0.01,0.25559298961314775,0.004997907501234802,2.043043,2.5568,0.1945185599480585,0.004098284151012538,1.554854,2.096576,0.09196149802272036,0.002598911900642097,0.73508,1.329536,0.04977915871229863,0.0016992885504198327,0.397902,0.869312,17.86428
33.5,-112.9,0.37,0.001999163000493921,0.27,0.001999163000493921,0.25,0.001999163000493921,0.21550977145324468,0.001999163000493921,1.722644,1.02272,0.15803383518904446,0.0016992885504198327,1.263219,0.869312,0.06727183496662043,0.0009995815002469604,0.537727,0.51136,0.036784599209088144,0.0006997070501728723,0.294032,0.357952,14.51358
33.5,-113.8,0.04,0.0004997907501234802,0.03,0.0004997907501234802,0.03,0.0004997907501234802,0.016393136604050153,0.0004997907501234802,0.131036,0.25568,0.010395647602568388,0.00039983260009878417,0.083096,0.204544,0.0,0.00019991630004939209,0.0,0.102272,0.0,9.995815002469604e-05,0.0,0.051136,0.95472
